Força;n;f;a
329.03;180;0.16;0.45
111.89;180;0.16;0.15
396.67;120;0.16;0.45
113.83;240;0.12;0.3
111.46;180;0.12;0.3
195.07;120;0.08;0.3
122.17;240;0.08;0.3
74.56;240;0.16;0.15
43.28;240;0.12;0.15
102.29;180;0.08;0.15
211.19;120;0.12;0.3
262.63;120;0.16;0.3
232.6;180;0.12;0.45
210.01;240;0.12;0.45
164.88;120;0.16;0.15
224.15;180;0.08;0.45
291.44;120;0.08;0.45
180.74;180;0.16;0.3
89.98;240;0.08;0.15
121.45;120;0.08;0.15
339.77;240;0.16;0.45
60.12;180;0.12;0.15
104.51;180;0.08;0.3
134.09;240;0.16;0.3
147.68;120;0.12;0.15
313.73;120;0.12;0.45
186.71;240;0.08;0.45
