Força;n;f;a
143.62;180;0.16;0.45
54.1;180;0.16;0.15
143.03;120;0.16;0.45
57.44;240;0.12;0.3
64.54;180;0.12;0.3
70.09;120;0.08;0.3
50.56;240;0.08;0.3
48.62;240;0.16;0.15
26.26;240;0.12;0.15
31.54;180;0.08;0.15
72.52;120;0.12;0.3
104.43;120;0.16;0.3
87.82;180;0.12;0.45
112.06;240;0.12;0.45
82.44;120;0.16;0.15
82.58;180;0.08;0.45
85.44;120;0.08;0.45
109.21;180;0.16;0.3
20.49;240;0.08;0.15
50.39;120;0.08;0.15
150.64;240;0.16;0.45
35.72;180;0.12;0.15
56.38;180;0.08;0.3
86.94;240;0.16;0.3
52.81;120;0.12;0.15
110.71;120;0.12;0.45
105.1;240;0.08;0.45
