Rugosidade;n;f;a
0.59;180;0.16;0.45
0.58;180;0.16;0.15
0.76;120;0.16;0.45
0.42;240;0.12;0.3
0.48;180;0.12;0.3
0.41;120;0.08;0.3
0.24;240;0.08;0.3
0.48;240;0.16;0.15
0.39;240;0.12;0.15
0.27;180;0.08;0.15
0.68;120;0.12;0.3
0.79;120;0.16;0.3
0.46;180;0.12;0.45
0.42;240;0.12;0.45
0.8;120;0.16;0.15
0.28;180;0.08;0.45
0.38;120;0.08;0.45
0.59;180;0.16;0.3
0.22;240;0.08;0.15
0.4;120;0.08;0.15
0.49;240;0.16;0.45
0.44;180;0.12;0.15
0.28;180;0.08;0.3
0.51;240;0.16;0.3
0.66;120;0.12;0.15
0.69;120;0.12;0.45
0.24;240;0.08;0.45
