Rugosidade;n;f;a
2.28;180;0.16;0.45
2.1;180;0.16;0.15
3.4;120;0.16;0.45
1.33;240;0.12;0.3
1.73;180;0.12;0.3
1.8;120;0.08;0.3
0.6;240;0.08;0.3
1.57;240;0.16;0.15
1.27;240;0.12;0.15
0.5;180;0.08;0.15
2.43;120;0.12;0.3
3;120;0.16;0.3
1.8;180;0.12;0.45
1.4;240;0.12;0.45
3.03;120;0.16;0.15
1.07;180;0.08;0.45
2;120;0.08;0.45
2.16;180;0.16;0.3
0.6;240;0.08;0.15
1.7;120;0.08;0.15
1.7;240;0.16;0.45
1.63;180;0.12;0.15
0.86;180;0.08;0.3
1.6;240;0.16;0.3
2.5;120;0.12;0.15
2.8;120;0.12;0.45
0.73;240;0.08;0.45
