Força;n;f;a
17.25;167;0.075;0.1
21.6;167;0.075;0.15
51.5;167;0.075;0.2
19.72;167;0.113;0.1
23.8;167;0.113;0.15
56.4;167;0.113;0.2
23.3;167;0.15;0.1
27.84;167;0.15;0.15
63.7;167;0.15;0.2
18.45;204;0.075;0.1
20.66;204;0.075;0.15
57.5;204;0.075;0.2
21;204;0.113;0.1
22.4;204;0.113;0.15
62.4;204;0.113;0.2
22.9;204;0.15;0.1
24.72;204;0.15;0.15
63.9;204;0.15;0.2
19.4;261.1;0.075;0.1
38.8;261.1;0.075;0.15
50.12;261.1;0.075;0.2
23;261.1;0.113;0.1
41.9;261.1;0.113;0.15
59.6;261.1;0.113;0.2
25.24;261.1;0.15;0.1
46.6;261.1;0.15;0.15
66.72;261.1;0.15;0.2
