Força;n;f;a
51.1;167;0.075;0.1
55;167;0.075;0.15
111.35;167;0.075;0.2
60.68;167;0.113;0.1
64.7;167;0.113;0.15
154.8;167;0.113;0.2
69.5;167;0.15;0.1
75.4;167;0.15;0.15
178.6;167;0.15;0.2
53.4;204;0.075;0.1
54;204;0.075;0.15
134;204;0.075;0.2
61.3;204;0.113;0.1
60.8;204;0.113;0.15
165;204;0.113;0.2
69.4;204;0.15;0.1
66.8;204;0.15;0.15
185.25;204;0.15;0.2
54;261.1;0.075;0.1
121.4;261.1;0.075;0.15
138.1;261.1;0.075;0.2
70.4;261.1;0.113;0.1
142.7;261.1;0.113;0.15
166.2;261.1;0.113;0.2
76.74;261.1;0.15;0.1
157;261.1;0.15;0.15
184.8;261.1;0.15;0.2
