Força;n;f;a
32.63;167;0.075;0.1
45;167;0.075;0.15
74.5;167;0.075;0.2
39.1;167;0.113;0.1
54.55;167;0.113;0.15
80.55;167;0.113;0.2
53.9;167;0.15;0.1
69.3;167;0.15;0.15
103;167;0.15;0.2
32.6;204;0.075;0.1
48.5;204;0.075;0.15
79.3;204;0.075;0.2
44.5;204;0.113;0.1
53.7;204;0.113;0.15
86;204;0.113;0.2
51.9;204;0.15;0.1
63.6;204;0.15;0.15
98.7;204;0.15;0.2
36.5;261.1;0.075;0.1
48.5;261.1;0.075;0.15
58.6;261.1;0.075;0.2
39.86;261.1;0.113;0.1
61.5;261.1;0.113;0.15
83.2;261.1;0.113;0.2
51.84;261.1;0.15;0.1
87.1;261.1;0.15;0.15
111.09;261.1;0.15;0.2
