Rugosidade;n;f;a
2.83;167;0.075;0.1
3.35;167;0.075;0.15
6.19;167;0.075;0.2
1.47;167;0.113;0.1
2.72;167;0.113;0.15
2.47;167;0.113;0.2
1.97;167;0.15;0.1
2.3;167;0.15;0.15
2.05;167;0.15;0.2
1.37;204;0.075;0.1
2.49;204;0.075;0.15
3.83;204;0.075;0.2
1.3;204;0.113;0.1
2.26;204;0.113;0.15
2.28;204;0.113;0.2
1.89;204;0.15;0.1
2.56;204;0.15;0.15
1.95;204;0.15;0.2
1.11;261.1;0.075;0.1
2.47;261.1;0.075;0.15
5.01;261.1;0.075;0.2
1.23;261.1;0.113;0.1
1.95;261.1;0.113;0.15
1.92;261.1;0.113;0.2
1.38;261.1;0.15;0.1
1.43;261.1;0.15;0.15
1.83;261.1;0.15;0.2
