Força;n;f;a
139.2;100;0.09;0.5
274.4;100;0.18;0.5
479.0;100;0.355;0.5
164.5;200;0.09;0.5
267.3;200;0.18;0.5
470.2;200;0.355;0.5
151.6;400;0.09;0.5
265.9;400;0.18;0.5
432.2;400;0.355;0.5
339.8;100;0.09;1.0
559.1;100;0.18;1.0
920.7;100;0.355;1.0
313.1;200;0.09;1.0
503.9;200;0.18;1.0
855.3;200;0.355;1.0
278.8;400;0.09;1.0
451.0;400;0.18;1.0
788.6;400;0.355;1.0
562.7;100;0.09;2.0
917.3;100;0.18;2.0
1842.8;100;0.355;2.0
562.6;200;0.09;2.0
900.3;200;0.18;2.0
1602.1;200;0.355;2.0
510.1;400;0.09;2.0
836.3;400;0.18;2.0
1417.4;400;0.355;2.0
