Força;n;f;a
30.25;90;0.08;0.15
66.75;90;0.08;0.30
130.72;90;0.08;0.45
32.71;90;0.12;0.15
85.64;90;0.12;0.30
138.19;90;0.12;0.45
35.03;90;0.16;0.15
90.32;90;0.16;0.30
142.63;90;0.16;0.45
29.34;120;0.08;0.15
66.27;120;0.08;0.30
106.26;120;0.08;0.45
32.69;120;0.12;0.15
74.64;120;0.12;0.30
122.67;120;0.12;0.45
34.13;120;0.16;0.15
76.13;120;0.16;0.30
132.60;120;0.16;0.45
27.68;180;0.08;0.15
64.05;180;0.08;0.30
101.46;180;0.08;0.45
29.24;180;0.12;0.15
66.33;180;0.12;0.30
117.09;180;0.12;0.45
33.26;180;0.16;0.15
70.27;180;0.16;0.30
117.09;180;0.16;0.45
