Força;n;f;a
89.67;90;0.08;0.15
139.24;90;0.08;0.30
182.79;90;0.08;0.45
100.45;90;0.12;0.15
157.54;90;0.12;0.30
197.73;90;0.12;0.45
115.96;90;0.16;0.15
174.44;90;0.16;0.30
217.70;90;0.16;0.45
83.21;120;0.08;0.15
134.47;120;0.08;0.30
162.77;120;0.08;0.45
93.22;120;0.12;0.15
142.64;120;0.12;0.30
180.75;120;0.12;0.45
104.96;120;0.16;0.15
161.92;120;0.16;0.30
211.49;120;0.16;0.45
70.57;180;0.08;0.15
120.92;180;0.08;0.30
143.15;180;0.08;0.45
92.30;180;0.12;0.15
127.26;180;0.12;0.30
169.37;180;0.12;0.45
101.77;180;0.16;0.15
147.58;180;0.16;0.30
179.62;180;0.16;0.45
