Força;n;f;a
70.67;90;0.08;0.15
130.84;90;0.08;0.30
176.33;90;0.08;0.45
80.40;90;0.12;0.15
146.43;90;0.12;0.30
221.68;90;0.12;0.45
107.11;90;0.16;0.15
176.97;90;0.16;0.30
266.34;90;0.16;0.45
58.59;120;0.08;0.15
124.92;120;0.08;0.30
158.60;120;0.08;0.45
79.61;120;0.12;0.15
136.18;120;0.12;0.30
209.37;120;0.12;0.45
96.02;120;0.16;0.15
169.61;120;0.16;0.30
238.10;120;0.16;0.45
50.58;180;0.08;0.15
105.85;180;0.08;0.30
152.45;180;0.08;0.45
64.74;180;0.12;0.15
117.06;180;0.12;0.30
172.71;180;0.12;0.45
85.37;180;0.16;0.15
168.65;180;0.16;0.30
234.16;180;0.16;0.45
