Rugosidade;n;f;a
0.323;265;0.12;0.1
0.292;265;0.08;0.1
0.289;265;0.06;0.1
0.295;356;0.12;0.1
0.28;356;0.08;0.1
0.266;356;0.06;0.1
0.237;440;0.12;0.1
0.215;440;0.08;0.1
0.176;440;0.06;0.1
0.319;440;0.12;0.15
0.317;440;0.08;0.15
0.251;440;0.06;0.15
0.33;356;0.12;0.15
0.321;356;0.08;0.15
0.303;356;0.06;0.15
0.349;265;0.12;0.15
0.307;265;0.08;0.15
0.307;265;0.06;0.15
0.46;265;0.12;0.2
0.411;265;0.08;0.2
0.41;265;0.06;0.2
0.405;356;0.12;0.2
0.369;356;0.08;0.2
0.344;356;0.06;0.2
0.393;440;0.12;0.2
0.348;440;0.08;0.2
0.345;440;0.06;0.2
