Força;n;f;a
12.4;28.91;0.1;0.25
5.2;28.91;0.1;0.5
9.6;28.91;0.1;0.75
5;28.91;0.18;0.25
4.3;28.91;0.18;0.5
11.5;28.91;0.18;0.75
2.8;28.91;0.25;0.25
10.3;28.91;0.25;0.5
11.4;28.91;0.25;0.75
5;44.13;0.1;0.25
4.2;44.13;0.1;0.5
8.3;44.13;0.1;0.75
21.8;44.13;0.18;0.25
9.1;44.13;0.18;0.5
1.6;44.13;0.18;0.75
7.1;44.13;0.25;0.25
10.4;44.13;0.25;0.5
24.2;44.13;0.25;0.75
10.2;65.37;0.1;0.25
5.5;65.37;0.1;0.5
8.3;65.37;0.1;0.75
2.5;65.37;0.18;0.25
2.3;65.37;0.18;0.5
10.3;65.37;0.18;0.75
8;65.37;0.25;0.25
10.1;65.37;0.25;0.5
19.1;65.37;0.25;0.75
