Força;n;f;a
26.4;28.91;0.1;0.25
19.2;28.91;0.1;0.5
21.3;28.91;0.1;0.75
13.6;28.91;0.18;0.25
18.3;28.91;0.18;0.5
25.5;28.91;0.18;0.75
16.8;28.91;0.25;0.25
24.3;28.91;0.25;0.5
25.4;28.91;0.25;0.75
9.6;44.13;0.1;0.25
18.2;44.13;0.1;0.5
22.3;44.13;0.1;0.75
35.8;44.13;0.18;0.25
15;44.13;0.18;0.5
15.6;44.13;0.18;0.75
21.1;44.13;0.25;0.25
24.4;44.13;0.25;0.5
38.2;44.13;0.25;0.75
9.3;65.37;0.1;0.25
19.5;65.37;0.1;0.5
22.3;65.37;0.1;0.75
16.5;65.37;0.18;0.25
16.3;65.37;0.18;0.5
24.3;65.37;0.18;0.75
16.9;65.37;0.25;0.25
24.1;65.37;0.25;0.5
33.1;65.37;0.25;0.75
