Rugosidade;n;f;a
5;28.91;0.1;0.25
4.52;28.91;0.1;0.5
5.5;28.91;0.1;0.75
8.37;28.91;0.18;0.25
9.41;28.91;0.18;0.5
9.34;28.91;0.18;0.75
10.5;28.91;0.25;0.25
9.43;28.91;0.25;0.5
8.66;28.91;0.25;0.75
4.64;44.13;0.1;0.25
7.23;44.13;0.1;0.5
6.24;44.13;0.1;0.75
6.44;44.13;0.18;0.25
6.87;44.13;0.18;0.5
8.74;44.13;0.18;0.75
10.93;44.13;0.25;0.25
9.93;44.13;0.25;0.5
9.27;44.13;0.25;0.75
6.74;65.37;0.1;0.25
5;65.37;0.1;0.5
4.52;65.37;0.1;0.75
5.5;65.37;0.18;0.25
8.37;65.37;0.18;0.5
9.41;65.37;0.18;0.75
9.34;65.37;0.25;0.25
10.5;65.37;0.25;0.5
9.43;65.37;0.25;0.75
