Força;n;f;a
48.78;150;0.08;0.15
52.12;150;0.08;0.3
76.83;150;0.08;0.45
53.14;150;0.12;0.15
65.34;150;0.12;0.3
102.24;150;0.12;0.45
70.34;150;0.16;0.15
83.28;150;0.16;0.3
127.96;150;0.16;0.45
43.05;200;0.08;0.15
53.82;200;0.08;0.3
69.13;200;0.08;0.45
46.11;200;0.12;0.15
54.67;200;0.12;0.3
89.91;200;0.12;0.45
48.27;200;0.16;0.15
62.89;200;0.16;0.3
110.81;200;0.16;0.45
47.52;250;0.08;0.15
74.66;250;0.08;0.3
89.87;250;0.08;0.45
43.88;250;0.12;0.15
46.5;250;0.12;0.3
72.53;250;0.12;0.45
50.35;250;0.16;0.15
71.33;250;0.16;0.3
123.36;250;0.16;0.45
