Força;n;f;a
106.65;150;0.08;0.15
104.9;150;0.08;0.3
131.45;150;0.08;0.45
108.53;150;0.12;0.15
114.25;150;0.12;0.3
162.04;150;0.12;0.45
127.91;150;0.16;0.15
158.7;150;0.16;0.3
187.7;150;0.16;0.45
88.41;200;0.08;0.15
110.37;200;0.08;0.3
143.15;200;0.08;0.45
88.02;200;0.12;0.15
107.77;200;0.12;0.3
127.84;200;0.12;0.45
108.91;200;0.16;0.15
127.37;200;0.16;0.3
169.54;200;0.16;0.45
107.29;250;0.08;0.15
115.53;250;0.08;0.3
141.56;250;0.08;0.45
85.18;250;0.12;0.15
102.21;250;0.12;0.3
144.55;250;0.12;0.45
108.29;250;0.16;0.15
128.96;250;0.16;0.3
155.66;250;0.16;0.45
