Força;n;f;a
92.37;150;0.08;0.15
89.16;150;0.08;0.3
129.35;150;0.08;0.45
117.65;150;0.12;0.15
136.24;150;0.12;0.3
187.13;150;0.12;0.45
137.54;150;0.16;0.15
148.13;150;0.16;0.3
211.59;150;0.16;0.45
78.3;200;0.08;0.15
104.31;200;0.08;0.3
103.67;200;0.08;0.45
120.49;200;0.12;0.15
118.49;200;0.12;0.3
161.24;200;0.12;0.45
140.93;200;0.16;0.15
149.46;200;0.16;0.3
212.82;200;0.16;0.45
69.76;250;0.08;0.15
122.98;250;0.08;0.3
138;250;0.08;0.45
112.92;250;0.12;0.15
124.55;250;0.12;0.3
164.3;250;0.12;0.45
127.92;250;0.16;0.15
147.2;250;0.16;0.3
220.28;250;0.16;0.45
