Rugosidade;n;f;a
0.47;150;0.08;0.15
0.45;150;0.08;0.3
0.51;150;0.08;0.45
0.78;150;0.12;0.15
0.89;150;0.12;0.3
0.84;150;0.12;0.45
1.15;150;0.16;0.15
1.18;150;0.16;0.3
1.42;150;0.16;0.45
0.52;200;0.08;0.15
0.4;200;0.08;0.3
0.51;200;0.08;0.45
0.7;200;0.12;0.15
0.82;200;0.12;0.3
0.7;200;0.12;0.45
1.06;200;0.16;0.15
1.06;200;0.16;0.3
1.3;200;0.16;0.45
0.49;250;0.08;0.15
0.39;250;0.08;0.3
0.5;250;0.08;0.45
0.46;250;0.12;0.15
0.75;250;0.12;0.3
0.58;250;0.12;0.45
1.02;250;0.16;0.15
0.9;250;0.16;0.3
1.15;250;0.16;0.45
