Força;n;f;a
26.74;150;0.08;0.15
69.49;150;0.08;0.3
113.01;150;0.08;0.45
46.6;150;0.12;0.15
76.57;150;0.12;0.3
129.13;150;0.12;0.45
43.52;150;0.16;0.15
81.32;150;0.16;0.3
146.82;150;0.16;0.45
37.12;200;0.08;0.15
70.28;200;0.08;0.3
111.24;200;0.08;0.45
46.66;200;0.12;0.15
65.15;200;0.12;0.3
94.91;200;0.12;0.45
41.06;200;0.16;0.15
76.1;200;0.16;0.3
108.12;200;0.16;0.45
37.59;250;0.08;0.15
54.41;250;0.08;0.3
95.51;250;0.08;0.45
25.47;250;0.12;0.15
57.64;250;0.12;0.3
108.06;250;0.12;0.45
39.22;250;0.16;0.15
84.21;250;0.16;0.3
111.5;250;0.16;0.45
