Força;n;f;a
98.5;150;0.08;0.15
128.57;150;0.08;0.3
165.04;150;0.08;0.45
119.56;150;0.12;0.15
160.59;150;0.12;0.3
195.12;150;0.12;0.45
132.53;150;0.16;0.15
175.13;150;0.16;0.3
244.63;150;0.16;0.45
88.44;200;0.08;0.15
126.06;200;0.08;0.3
142.98;200;0.08;0.45
108.76;200;0.12;0.15
144.21;200;0.12;0.3
155.9;200;0.12;0.45
102.04;200;0.16;0.15
150.93;200;0.16;0.3
176.5;200;0.16;0.45
95.14;250;0.08;0.15
107.01;250;0.08;0.3
124.58;250;0.08;0.45
77.47;250;0.12;0.15
117.12;250;0.12;0.3
162.28;250;0.12;0.45
92.78;250;0.16;0.15
79.65;250;0.16;0.3
186.04;250;0.16;0.45
