Força;n;f;a
60.33;150;0.08;0.15
95.03;150;0.08;0.3
148.22;150;0.08;0.45
78.65;150;0.12;0.15
138.04;150;0.12;0.3
190.15;150;0.12;0.45
88.89;150;0.16;0.15
174.19;150;0.16;0.3
241.24;150;0.16;0.45
53.55;200;0.08;0.15
98.54;200;0.08;0.3
149.41;200;0.08;0.45
88.73;200;0.12;0.15
145.84;200;0.12;0.3
181.57;200;0.12;0.45
89.19;200;0.16;0.15
178.32;200;0.16;0.3
225.57;200;0.16;0.45
69.75;250;0.08;0.15
99.29;250;0.08;0.3
144.59;250;0.08;0.45
74.98;250;0.12;0.15
125.01;250;0.12;0.3
198.91;250;0.12;0.45
97.91;250;0.16;0.15
88.96;250;0.16;0.3
233.37;250;0.16;0.45
