Rugosidade;n;f;a
0.96;150;0.08;0.15
0.8;150;0.08;0.3
0.6;150;0.08;0.45
0.77;150;0.12;0.15
0.9;150;0.12;0.3
0.96;150;0.12;0.45
1.39;150;0.16;0.15
1.45;150;0.16;0.3
1.46;150;0.16;0.45
0.4;200;0.08;0.15
0.42;200;0.08;0.3
0.47;200;0.08;0.45
0.72;200;0.12;0.15
0.74;200;0.12;0.3
0.93;200;0.12;0.45
1.37;200;0.16;0.15
1.37;200;0.16;0.3
1.44;200;0.16;0.45
0.32;250;0.08;0.15
0.37;250;0.08;0.3
0.37;250;0.08;0.45
0.57;250;0.12;0.15
0.72;250;0.12;0.3
0.83;250;0.12;0.45
1.26;250;0.16;0.15
1.27;250;0.16;0.3
1.3;250;0.16;0.45
