Rugosidade;n;f;a
438.33;55;0.04;0.1
431.3;55;0.04;0.1
560.21;93;0.04;0.1
567.02;93;0.04;0.1
722.63;55;0.12;0.1
723.55;55;0.12;0.1
745.65;93;0.12;0.1
725.18;93;0.12;0.1
429.38;55;0.04;0.2
459.27;55;0.04;0.2
387.77;93;0.04;0.2
434.48;93;0.04;0.2
836.55;55;0.12;0.2
849.7;55;0.12;0.2
820.37;93;0.12;0.2
853.56;93;0.12;0.2
566.22;74;0.08;0.15
580.79;74;0.08;0.15
568.24;74;0.08;0.15
544.21;74;0.08;0.15
482.28;55;0.08;0.15
467.39;93;0.08;0.15
364.21;74;0.04;0.15
710.37;74;0.12;0.15
408.61;74;0.08;0.1
416.69;74;0.08;0.2
565.67;74;0.08;0.15
555.24;74;0.08;0.15
