Força;n;f;a
68.14;260;0.08;0.25
54.9;370;0.08;0.25
57.73;530;0.08;0.25
100.86;260;0.14;0.25
78.67;370;0.14;0.25
75.84;530;0.14;0.25
111.96;260;0.2;0.25
96.95;370;0.2;0.25
93.79;530;0.2;0.25
127.92;260;0.08;0.5
93.33;370;0.08;0.5
99.16;530;0.08;0.5
202.69;260;0.14;0.5
195.14;370;0.14;0.5
170.76;530;0.14;0.5
244.82;260;0.2;0.5
230.98;370;0.2;0.5
219.4;530;0.2;0.5
193.54;260;0.08;0.75
192.04;370;0.08;0.75
171.83;530;0.08;0.75
275.76;260;0.14;0.75
173.86;370;0.14;0.75
260.01;530;0.14;0.75
349.77;260;0.2;0.75
326.59;370;0.2;0.75
306.87;530;0.2;0.75
