Rugosidade;n;f;a
0.82;260;0.08;0.25
0.77;370;0.08;0.25
0.72;530;0.08;0.25
1.29;260;0.14;0.25
0.91;370;0.14;0.25
0.83;530;0.14;0.25
1.53;260;0.2;0.25
1.39;370;0.2;0.25
1.18;530;0.2;0.25
0.75;260;0.08;0.5
0.73;370;0.08;0.5
0.7;530;0.08;0.5
1.35;260;0.14;0.5
0.88;370;0.14;0.5
0.79;530;0.14;0.5
1.78;260;0.2;0.5
1.43;370;0.2;0.5
1.27;530;0.2;0.5
0.93;260;0.08;0.75
0.85;370;0.08;0.75
0.71;530;0.08;0.75
1.31;260;0.14;0.75
1.21;370;0.14;0.75
1.06;530;0.14;0.75
1.79;260;0.2;0.75
1.58;370;0.2;0.75
1.4;530;0.2;0.75
