Força;n;f;a
403.0;135;0.20;0.6
550.0;135;0.32;0.6
454.0;135;0.08;1.1
704.0;135;0.20;1.1
889.0;135;0.32;1.1
628.0;135;0.08;1.6
924.0;135;0.20;1.6
1198.0;135;0.32;1.6
212.0;210;0.08;0.6
389.0;210;0.20;0.6
502.0;210;0.32;0.6
377.0;210;0.08;1.1
622.0;210;0.20;1.1
853.8;210;0.32;1.1
593.0;210;0.08;1.6
952.0;210;0.20;1.6
1169.7;210;0.32;1.6
203.0;285;0.08;0.6
363.8;285;0.20;0.6
464.2;285;0.32;0.6
335.0;285;0.08;1.1
573.1;285;0.20;1.1
812.7;285;0.32;1.1
443.0;285;0.08;1.6
856.8;285;0.20;1.6
1099.3;285;0.32;1.6
263;135;0.08;0.6
