Força;n;f;a
452.2;202.63;0.08;1.25
737.9;202.63;0.2;1.25
1019.8;202.63;0.32;1.25
316.8;202.63;0.08;0.8
529.7;202.63;0.2;0.8
762.2;202.63;0.32;0.8
192.4;202.63;0.08;0.35
283.8;202.63;0.2;0.35
396.2;202.63;0.32;0.35
490.0;121.58;0.08;1.25
825.6;121.58;0.2;1.25
1111.7;121.58;0.32;1.25
352.2;121.58;0.08;0.8
598.9;121.58;0.2;0.8
827.1;121.58;0.32;0.8
188.2;121.58;0.08;0.35
314.1;121.58;0.2;0.35
424.7;121.58;0.32;0.35
481.7;86.12;0.08;1.25
782.5;86.12;0.2;1.25
1076.1;86.12;0.32;1.25
339.5;86.12;0.08;0.8
588.4;86.12;0.2;0.8
801.1;86.12;0.32;0.8
185.9;86.12;0.08;0.35
298.8;86.12;0.2;0.35
432.7;86.12;0.32;0.35
