Rugosidade;n;f;a
0.848;202.63;0.08;1.25
3.111;202.63;0.2;1.25
8.279;202.63;0.32;1.25
1.065;202.63;0.08;0.8
3.154;202.63;0.2;0.8
7.568;202.63;0.32;0.8
1.087;202.63;0.08;0.35
2.813;202.63;0.2;0.35
7.004;202.63;0.32;0.35
0.715;121.58;0.08;1.25
3.794;121.58;0.2;1.25
9.489;121.58;0.32;1.25
0.838;121.58;0.08;0.8
3.630;121.58;0.2;0.8
8.503;121.58;0.32;0.8
0.755;121.58;0.08;0.35
3.341;121.58;0.2;0.35
7.943;121.58;0.32;0.35
0.727;86.12;0.08;1.25
3.466;86.12;0.2;1.25
9.031;86.12;0.32;1.25
0.858;86.12;0.08;0.8
3.247;86.12;0.2;0.8
8.115;86.12;0.32;0.8
0.900;86.12;0.08;0.35
3.055;86.12;0.2;0.35
7.555;86.12;0.32;0.35
