Força;n;f;a
101.11;300;0.2;1.5
85.13;300;0.15;1.5
68.16;300;0.1;1.5
59.94;300;0.2;0.75
56.74;300;0.15;0.75
41.1;300;0.1;0.75
28.44;300;0.2;0.25
26.22;300;0.15;0.25
21.55;300;0.1;0.25
107.79;200;0.2;1.5
93.42;200;0.15;1.5
73.67;200;0.1;1.5
68.68;200;0.2;0.75
57.69;200;0.15;0.75
44.72;200;0.1;0.75
33.57;200;0.2;0.25
29.37;200;0.15;0.25
23.61;200;0.1;0.25
118.21;100;0.2;1.5
101.71;100;0.15;1.5
78.75;100;0.1;1.5
54.2;100;0.2;0.75
56.97;100;0.15;0.75
54.59;100;0.1;0.75
36.19;100;0.2;0.25
31.93;100;0.15;0.25
26.93;100;0.1;0.25
