Força;n;f;a
74.97;300;0.2;1.5
64.31;300;0.15;1.5
57.87;300;0.1;1.5
77.8;300;0.2;0.75
86.74;300;0.15;0.75
76.44;300;0.1;0.75
72.74;300;0.2;0.25
70.33;300;0.15;0.25
62.47;300;0.1;0.25
111.18;200;0.2;1.5
101.55;200;0.15;1.5
89.62;200;0.1;1.5
111.39;200;0.2;0.75
100.93;200;0.15;0.75
86.58;200;0.1;0.75
85.42;200;0.2;0.25
78.08;200;0.15;0.25
67.52;200;0.1;0.25
121.14;100;0.2;1.5
112.73;100;0.15;1.5
98.94;100;0.1;1.5
98.43;100;0.2;0.75
102.63;100;0.15;0.75
102.39;100;0.1;0.75
91.84;100;0.2;0.25
86.6;100;0.15;0.25
76.86;100;0.1;0.25
