Força;n;f;a
107.79;300;0.2;1.5
96;300;0.15;1.5
87.7;300;0.1;1.5
53.46;300;0.2;0.75
58.39;300;0.15;0.75
54.36;300;0.1;0.75
23.17;300;0.2;0.25
23.89;300;0.15;0.25
22.22;300;0.1;0.25
133.03;200;0.2;1.5
125.55;200;0.15;1.5
116.7;200;0.1;1.5
76.28;200;0.2;0.75
70.93;200;0.15;0.75
62.82;200;0.1;0.75
28.75;200;0.2;0.25
26.65;200;0.15;0.25
23.65;200;0.1;0.25
145.49;100;0.2;1.5
136.84;100;0.15;1.5
123.86;100;0.1;1.5
66.91;100;0.2;0.75
67.71;100;0.15;0.75
67.94;100;0.1;0.75
28.43;100;0.2;0.25
27.19;100;0.15;0.25
25.19;100;0.1;0.25
