Força;n;f;a
725.98;90;0.04;0.2
731.63;90;0.04;0.75
739.15;90;0.04;1
742.91;90;0.14;0.2
744.79;90;0.14;0.75
750.43;90;0.14;1
744.79;90;0.29;0.2
745.56;90;0.29;0.75
774.39;90;0.29;1
800.97;270;0.04;0.2
797.36;270;0.04;0.75
805.17;270;0.04;1
800.67;270;0.14;0.2
814.51;270;0.14;0.75
818.69;270;0.14;1
823.72;270;0.29;0.2
822.52;270;0.29;0.75
820.49;270;0.29;1
823.34;540;0.04;0.2
838.66;540;0.04;0.75
840.39;540;0.04;1
842.59;540;0.14;0.2
848.8;540;0.14;0.75
844.82;540;0.14;1
866.89;540;0.29;0.2
877.48;540;0.29;0.75
879.28;540;0.29;1
