Rugosidade;n;f;a
1.22;950;0.05;0.5
1.099;1150;0.05;0.5
1.002;1400;0.05;0.5
1.53;950;0.1;0.5
1.33067;1150;0.1;0.5
1.25767;1400;0.1;0.5
2.28;950;0.15;0.5
2.172;1150;0.15;0.5
1.87333;1400;0.15;0.5
2.777;950;0.05;1
1.51;1150;0.05;1
0.92633;1400;0.05;1
1.97433;950;0.1;1
1.43;1150;0.1;1
1.29333;1400;0.1;1
3.09367;950;0.15;1
2.72;1150;0.15;1
1.79867;1400;0.15;1
1.43;950;0.05;1.5
1.07733;1150;0.05;1.5
0.83133;1400;0.05;1.5
1.98533;950;0.1;1.5
1.50667;1150;0.1;1.5
0.70333;1400;0.1;1.5
2.72233;950;0.15;1.5
2.25867;1150;0.15;1.5
1.40933;1400;0.15;1.5
