Força;n;f;a
366.75;90;0.2;0.2
372.39;90;0.2;0.4
380.85;90;0.2;0.6
393.08;90;0.4;0.2
400.6;90;0.4;0.4
410.01;90;0.4;0.6
423.92;90;0.6;0.2
433.14;90;0.6;0.4
444.24;90;0.6;0.6
472.26;180;0.2;0.2
478.47;180;0.2;0.4
492.76;180;0.2;0.6
505.93;180;0.4;0.2
513.64;180;0.4;0.4
523.23;180;0.4;0.6
534.14;180;0.6;0.2
541.85;180;0.6;0.4
551.44;180;0.6;0.6
583.23;270;0.2;0.2
589.43;270;0.2;0.4
598.09;270;0.2;0.6
608.62;270;0.4;0.2
616.33;270;0.4;0.4
624.98;270;0.4;0.6
637.77;270;0.6;0.2
646.8;270;0.6;0.4
656.01;270;0.6;0.6
