Melhores parâmetros: -0.131205 com {'epochs': 469, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 29}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2357  0.2431  10  0.1000      False   relu      38
1  -0.3377  0.4400  17  0.1000       True   relu     716
2  -0.3501  0.2895   7  0.0100       True   tanh     130
3  -0.5008  0.2396  19  0.0010      False   tanh     282
4  -0.1312  0.0641  29  0.0010      False   relu     469
5  -0.4673  0.3668  88  0.1000      False   tanh     926
6  -0.2774  0.3599  95  0.0001       True   relu     984
7  -0.2630  0.3113  10  0.0100       True   tanh     865
8  -0.7050  0.6993  58  0.0010       True   relu       8
9  -0.3010  0.3127   9  0.0100      False   tanh     514
10 -0.3452  0.4748  73  0.0001       True   relu     729
11 -0.2539  0.3822  22  0.0010       True   relu     543
12 -0.1825  0.1466  25  0.1000       True   relu     562
13 -0.1989  0.1385  53  0.0010      False   relu     498
14 -0.2064  0.2635  83  0.0100       True   relu     337
15 -0.5105  0.2852  99  0.0100      False   tanh      16
16 -0.1848  0.1810  23  0.0100      False   relu     472
17 -0.2864  0.3384  24  0.0010       True   relu     778
18 -0.2463  0.2139  58  0.0100       True   tanh     382
19 -0.4892  0.3036  35  0.1000      False   tanh     596
