Melhores parâmetros: -0.109088 com {'epochs': 469, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 29}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2990  0.3763  10  0.1000      False   relu      38
1  -0.3096  0.4231  17  0.1000       True   relu     716
2  -0.3397  0.2624   7  0.0100       True   tanh     130
3  -0.4803  0.1794  19  0.0010      False   tanh     282
4  -0.1091  0.0356  29  0.0010      False   relu     469
5  -0.4998  0.3606  88  0.1000      False   tanh     926
6  -0.2493  0.3223  95  0.0001       True   relu     984
7  -0.2818  0.3028  10  0.0100       True   tanh     865
8  -0.6980  0.6259  58  0.0010       True   relu       8
9  -0.3087  0.3267   9  0.0100      False   tanh     514
10 -0.3092  0.4074  73  0.0001       True   relu     729
11 -0.2113  0.2873  22  0.0010       True   relu     543
12 -0.1780  0.1304  25  0.1000       True   relu     562
13 -0.1635  0.0891  53  0.0010      False   relu     498
14 -0.1816  0.2131  83  0.0100       True   relu     337
15 -0.4920  0.2703  99  0.0100      False   tanh      16
16 -0.1775  0.1444  23  0.0100      False   relu     472
17 -0.2534  0.2952  24  0.0010       True   relu     778
18 -0.1830  0.1722  58  0.0100       True   tanh     382
19 -0.4722  0.3109  35  0.1000      False   tanh     596
