Melhores parâmetros: -0.111643 com {'epochs': 38, 'fun': 'relu', 'layer2': False, 'ln': 0.1, 'n': 10}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1116  0.0658  10  0.1000      False   relu      38
1  -0.1259  0.0626  17  0.1000       True   relu     716
2  -0.2353  0.1185   7  0.0100       True   tanh     130
3  -0.2145  0.1129  19  0.0010      False   tanh     282
4  -0.1462  0.0646  29  0.0010      False   relu     469
5  -0.3008  0.1816  88  0.1000      False   tanh     926
6  -0.1852  0.1083  95  0.0001       True   relu     984
7  -0.3426  0.2367  10  0.0100       True   tanh     865
8  -0.6618  0.5263  58  0.0010       True   relu       8
9  -0.2456  0.1030   9  0.0100      False   tanh     514
10 -0.1847  0.0817  73  0.0001       True   relu     729
11 -0.1852  0.1142  22  0.0010       True   relu     543
12 -0.1626  0.0951  25  0.1000       True   relu     562
13 -0.1389  0.0351  53  0.0010      False   relu     498
14 -0.1522  0.0699  83  0.0100       True   relu     337
15 -0.1702  0.0748  99  0.0100      False   tanh      16
16 -0.1246  0.1220  23  0.0100      False   relu     472
17 -0.1673  0.0903  24  0.0010       True   relu     778
18 -0.3541  0.2320  58  0.0100       True   tanh     382
19 -0.3434  0.2252  35  0.1000      False   tanh     596
