Melhores parâmetros: -0.016074 com {'epochs': 562, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 25}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0272  0.0186  10  0.1000      False   relu      38
1  -0.0208  0.0128  17  0.1000       True   relu     716
2  -0.1250  0.1229   7  0.0100       True   tanh     130
3  -0.5413  0.3184  19  0.0010      False   tanh     282
4  -0.1611  0.1548  29  0.0010      False   relu     469
5  -0.0339  0.0363  88  0.1000      False   tanh     926
6  -0.0371  0.0155  95  0.0001       True   relu     984
7  -0.0625  0.0387  10  0.0100       True   tanh     865
8  -0.7716  0.5340  58  0.0010       True   relu       8
9  -0.0704  0.0638   9  0.0100      False   tanh     514
10 -0.0839  0.0621  73  0.0001       True   relu     729
11 -0.1012  0.0423  22  0.0010       True   relu     543
12 -0.0161  0.0071  25  0.1000       True   relu     562
13 -0.1589  0.1517  53  0.0010      False   relu     498
14 -0.0241  0.0127  83  0.0100       True   relu     337
15 -0.7361  0.3532  99  0.0100      False   tanh      16
16 -0.0549  0.0789  23  0.0100      False   relu     472
17 -0.0365  0.0223  24  0.0010       True   relu     778
18 -0.0658  0.0274  58  0.0100       True   tanh     382
19 -0.0870  0.1241  35  0.1000      False   tanh     596
