Melhores parâmetros: -0.016383 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0503  0.0268  10  0.1000      False   relu      38
1  -0.0284  0.0152  17  0.1000       True   relu     716
2  -0.0759  0.0603   7  0.0100       True   tanh     130
3  -0.3902  0.2322  19  0.0010      False   tanh     282
4  -0.2432  0.1956  29  0.0010      False   relu     469
5  -0.0387  0.0148  88  0.1000      False   tanh     926
6  -0.0331  0.0184  95  0.0001       True   relu     984
7  -0.0255  0.0165  10  0.0100       True   tanh     865
8  -0.7810  0.4592  58  0.0010       True   relu       8
9  -0.0829  0.0604   9  0.0100      False   tanh     514
10 -0.0603  0.0250  73  0.0001       True   relu     729
11 -0.0904  0.0605  22  0.0010       True   relu     543
12 -0.0413  0.0170  25  0.1000       True   relu     562
13 -0.1814  0.1364  53  0.0010      False   relu     498
14 -0.0164  0.0093  83  0.0100       True   relu     337
15 -0.6088  0.3716  99  0.0100      False   tanh      16
16 -0.0485  0.0344  23  0.0100      False   relu     472
17 -0.0484  0.0269  24  0.0010       True   relu     778
18 -0.0465  0.0560  58  0.0100       True   tanh     382
19 -0.2424  0.1604  35  0.1000      False   tanh     596
