Melhores parâmetros: -0.035187 com {'epochs': 562, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 25}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1080  0.0617  10  0.1000      False   relu      38
1  -0.0645  0.0408  17  0.1000       True   relu     716
2  -0.1016  0.0654   7  0.0100       True   tanh     130
3  -0.5418  0.3766  19  0.0010      False   tanh     282
4  -0.1617  0.1073  29  0.0010      False   relu     469
5  -0.1704  0.1514  88  0.1000      False   tanh     926
6  -0.0634  0.0435  95  0.0001       True   relu     984
7  -0.0581  0.0493  10  0.0100       True   tanh     865
8  -0.7617  0.4888  58  0.0010       True   relu       8
9  -0.0652  0.0611   9  0.0100      False   tanh     514
10 -0.0921  0.0292  73  0.0001       True   relu     729
11 -0.0577  0.0376  22  0.0010       True   relu     543
12 -0.0352  0.0247  25  0.1000       True   relu     562
13 -0.1360  0.0853  53  0.0010      False   relu     498
14 -0.0864  0.0565  83  0.0100       True   relu     337
15 -0.7737  0.4357  99  0.0100      False   tanh      16
16 -0.1573  0.1505  23  0.0100      False   relu     472
17 -0.0941  0.0609  24  0.0010       True   relu     778
18 -0.0561  0.0306  58  0.0100       True   tanh     382
19 -0.3096  0.2459  35  0.1000      False   tanh     596
