Melhores parâmetros: -0.028876 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0514  0.0388  10  0.1000      False   relu      38
1  -0.0398  0.0233  17  0.1000       True   relu     716
2  -0.0305  0.0130   7  0.0100       True   tanh     130
3  -0.0477  0.0317  19  0.0010      False   tanh     282
4  -0.0907  0.0779  29  0.0010      False   relu     469
5  -0.0570  0.0603  88  0.1000      False   tanh     926
6  -0.0648  0.0392  95  0.0001       True   relu     984
7  -0.0813  0.0497  10  0.0100       True   tanh     865
8  -0.6835  0.1140  58  0.0010       True   relu       8
9  -0.0289  0.0193   9  0.0100      False   tanh     514
10 -0.1023  0.0573  73  0.0001       True   relu     729
11 -0.0931  0.0710  22  0.0010       True   relu     543
12 -0.0717  0.0529  25  0.1000       True   relu     562
13 -0.1050  0.0897  53  0.0010      False   relu     498
14 -0.0590  0.0424  83  0.0100       True   relu     337
15 -0.0545  0.0381  99  0.0100      False   tanh      16
16 -0.0459  0.0325  23  0.0100      False   relu     472
17 -0.0766  0.0725  24  0.0010       True   relu     778
18 -0.0805  0.0523  58  0.0100       True   tanh     382
19 -0.0725  0.0709  35  0.1000      False   tanh     596
