Melhores parâmetros: -0.203035 com {'epochs': 130, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 7}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3075  0.1080  10  0.1000      False   relu      38
1  -0.3659  0.0969  17  0.1000       True   relu     716
2  -0.2030  0.1128   7  0.0100       True   tanh     130
3  -0.2187  0.0805  19  0.0010      False   tanh     282
4  -0.4114  0.1870  29  0.0010      False   relu     469
5  -0.3857  0.1562  88  0.1000      False   tanh     926
6  -0.2442  0.0746  95  0.0001       True   relu     984
7  -0.3373  0.1687  10  0.0100       True   tanh     865
8  -0.6538  0.2849  58  0.0010       True   relu       8
9  -0.3138  0.1766   9  0.0100      False   tanh     514
10 -0.2225  0.0461  73  0.0001       True   relu     729
11 -0.2127  0.1029  22  0.0010       True   relu     543
12 -0.3048  0.0459  25  0.1000       True   relu     562
13 -0.3259  0.1371  53  0.0010      False   relu     498
14 -0.2516  0.0730  83  0.0100       True   relu     337
15 -0.2687  0.1818  99  0.0100      False   tanh      16
16 -0.3316  0.1613  23  0.0100      False   relu     472
17 -0.2060  0.0944  24  0.0010       True   relu     778
18 -0.2972  0.2321  58  0.0100       True   tanh     382
19 -0.3635  0.2643  35  0.1000      False   tanh     596
