Melhores parâmetros: -0.160340 com {'epochs': 282, 'fun': 'tanh', 'layer2': False, 'ln': 0.001, 'n': 19}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2159  0.1714  10  0.1000      False   relu      38
1  -0.4030  0.3327  17  0.1000       True   relu     716
2  -0.2110  0.1231   7  0.0100       True   tanh     130
3  -0.1603  0.1257  19  0.0010      False   tanh     282
4  -0.2411  0.0968  29  0.0010      False   relu     469
5  -0.3139  0.1900  88  0.1000      False   tanh     926
6  -0.2182  0.1067  95  0.0001       True   relu     984
7  -0.3099  0.1523  10  0.0100       True   tanh     865
8  -0.6953  0.2276  58  0.0010       True   relu       8
9  -0.2714  0.1416   9  0.0100      False   tanh     514
10 -0.2016  0.0956  73  0.0001       True   relu     729
11 -0.2182  0.1066  22  0.0010       True   relu     543
12 -0.2148  0.0986  25  0.1000       True   relu     562
13 -0.2847  0.1407  53  0.0010      False   relu     498
14 -0.2305  0.0603  83  0.0100       True   relu     337
15 -0.1626  0.1498  99  0.0100      False   tanh      16
16 -0.3363  0.1801  23  0.0100      False   relu     472
17 -0.2267  0.1512  24  0.0010       True   relu     778
18 -0.4254  0.1841  58  0.0100       True   tanh     382
19 -0.3282  0.2375  35  0.1000      False   tanh     596
