Melhores parâmetros: -0.029291 com {'epochs': 514, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 9}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0780  0.0737  10  0.1000      False   relu      38
1  -0.0787  0.0371  17  0.1000       True   relu     716
2  -0.0750  0.0494   7  0.0100       True   tanh     130
3  -0.2518  0.0755  19  0.0010      False   tanh     282
4  -0.2224  0.0902  29  0.0010      False   relu     469
5  -0.0572  0.0467  88  0.1000      False   tanh     926
6  -0.1757  0.0894  95  0.0001       True   relu     984
7  -0.0766  0.0708  10  0.0100       True   tanh     865
8  -0.6116  0.2297  58  0.0010       True   relu       8
9  -0.0293  0.0241   9  0.0100      False   tanh     514
10 -0.1737  0.0861  73  0.0001       True   relu     729
11 -0.1366  0.0726  22  0.0010       True   relu     543
12 -0.0627  0.0408  25  0.1000       True   relu     562
13 -0.1771  0.0640  53  0.0010      False   relu     498
14 -0.1962  0.0353  83  0.0100       True   relu     337
15 -0.2479  0.1669  99  0.0100      False   tanh      16
16 -0.1209  0.0265  23  0.0100      False   relu     472
17 -0.1344  0.0704  24  0.0010       True   relu     778
18 -0.2179  0.2509  58  0.0100       True   tanh     382
19 -0.0837  0.0451  35  0.1000      False   tanh     596
