Melhores parâmetros: -0.075091 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2659  0.1958  10  0.1000      False   relu      38
1  -0.1029  0.0729  17  0.1000       True   relu     716
2  -0.1309  0.0644   7  0.0100       True   tanh     130
3  -0.2172  0.0769  19  0.0010      False   tanh     282
4  -0.3348  0.1567  29  0.0010      False   relu     469
5  -0.0993  0.0469  88  0.1000      False   tanh     926
6  -0.2806  0.0937  95  0.0001       True   relu     984
7  -0.1095  0.0767  10  0.0100       True   tanh     865
8  -0.5991  0.2290  58  0.0010       True   relu       8
9  -0.1316  0.0591   9  0.0100      False   tanh     514
10 -0.2362  0.0852  73  0.0001       True   relu     729
11 -0.1503  0.0392  22  0.0010       True   relu     543
12 -0.1514  0.0777  25  0.1000       True   relu     562
13 -0.3776  0.1369  53  0.0010      False   relu     498
14 -0.2215  0.0905  83  0.0100       True   relu     337
15 -0.2970  0.0915  99  0.0100      False   tanh      16
16 -0.2491  0.1416  23  0.0100      False   relu     472
17 -0.2544  0.1580  24  0.0010       True   relu     778
18 -0.0751  0.0402  58  0.0100       True   tanh     382
19 -0.1072  0.0487  35  0.1000      False   tanh     596
