Melhores parâmetros: -0.082080 com {'epochs': 16, 'fun': 'tanh', 'layer2': False, 'ln': 0.01, 'n': 99}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1482  0.0991  10  0.1000      False   relu      38
1  -0.1805  0.0972  17  0.1000       True   relu     716
2  -0.2362  0.1735   7  0.0100       True   tanh     130
3  -0.1455  0.0907  19  0.0010      False   tanh     282
4  -0.1441  0.0925  29  0.0010      False   relu     469
5  -0.2818  0.2828  88  0.1000      False   tanh     926
6  -0.1802  0.1816  95  0.0001       True   relu     984
7  -0.1731  0.1776  10  0.0100       True   tanh     865
8  -0.6287  0.4975  58  0.0010       True   relu       8
9  -0.2084  0.1709   9  0.0100      False   tanh     514
10 -0.1577  0.1427  73  0.0001       True   relu     729
11 -0.1396  0.1159  22  0.0010       True   relu     543
12 -0.1297  0.0920  25  0.1000       True   relu     562
13 -0.1376  0.0959  53  0.0010      False   relu     498
14 -0.1490  0.1289  83  0.0100       True   relu     337
15 -0.0821  0.0677  99  0.0100      False   tanh      16
16 -0.2123  0.1291  23  0.0100      False   relu     472
17 -0.1782  0.1780  24  0.0010       True   relu     778
18 -0.1435  0.1429  58  0.0100       True   tanh     382
19 -0.3299  0.2754  35  0.1000      False   tanh     596
