Melhores parâmetros: -0.773428 com {'epochs': 543, 'fun': 'relu', 'layer2': True, 'ln': 0.001, 'n': 22}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -1.1011  1.0008  10  0.1000      False   relu      38
1  -1.0186  1.2987  17  0.1000       True   relu     716
2  -1.2561  1.4302   7  0.0100       True   tanh     130
3  -1.2654  1.1321  19  0.0010      False   tanh     282
4  -1.0274  1.0896  29  0.0010      False   relu     469
5  -1.2416  1.0390  88  0.1000      False   tanh     926
6  -0.9896  1.2225  95  0.0001       True   relu     984
7  -1.1272  1.3158  10  0.0100       True   tanh     865
8  -0.9958  1.4534  58  0.0010       True   relu       8
9  -0.9756  0.9137   9  0.0100      False   tanh     514
10 -0.8663  1.0328  73  0.0001       True   relu     729
11 -0.7734  0.9428  22  0.0010       True   relu     543
12 -1.2610  1.3717  25  0.1000       True   relu     562
13 -0.8274  0.9249  53  0.0010      False   relu     498
14 -1.1691  1.1744  83  0.0100       True   relu     337
15 -1.2095  1.2050  99  0.0100      False   tanh      16
16 -1.0310  0.9052  23  0.0100      False   relu     472
17 -0.9243  1.0379  24  0.0010       True   relu     778
18 -0.9977  1.3555  58  0.0100       True   tanh     382
19 -1.2571  1.0393  35  0.1000      False   tanh     596
