Melhores parâmetros: -0.065633 com {'epochs': 716, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 17}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3106  0.5512  10  0.1000      False   relu      38
1  -0.0656  0.0575  17  0.1000       True   relu     716
2  -0.2692  0.4179   7  0.0100       True   tanh     130
3  -0.3500  0.3878  19  0.0010      False   tanh     282
4  -0.1355  0.2225  29  0.0010      False   relu     469
5  -0.1952  0.1754  88  0.1000      False   tanh     926
6  -0.1176  0.1867  95  0.0001       True   relu     984
7  -0.0948  0.1203  10  0.0100       True   tanh     865
8  -0.7029  0.9577  58  0.0010       True   relu       8
9  -0.0838  0.1224   9  0.0100      False   tanh     514
10 -0.1255  0.2238  73  0.0001       True   relu     729
11 -0.1963  0.3340  22  0.0010       True   relu     543
12 -0.1440  0.1907  25  0.1000       True   relu     562
13 -0.1027  0.1854  53  0.0010      False   relu     498
14 -0.1004  0.1394  83  0.0100       True   relu     337
15 -0.4417  0.3379  99  0.0100      False   tanh      16
16 -0.0837  0.1178  23  0.0100      False   relu     472
17 -0.1781  0.2925  24  0.0010       True   relu     778
18 -0.0798  0.0643  58  0.0100       True   tanh     382
19 -0.3635  0.3258  35  0.1000      False   tanh     596
