Melhores parâmetros: -0.112594 com {'epochs': 729, 'fun': 'relu', 'layer2': True, 'ln': 0.0001, 'n': 73}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3652  0.3346  10  0.1000      False   relu      38
1  -0.2758  0.2753  17  0.1000       True   relu     716
2  -0.3541  0.4234   7  0.0100       True   tanh     130
3  -0.3216  0.3502  19  0.0010      False   tanh     282
4  -0.2211  0.2923  29  0.0010      False   relu     469
5  -0.1421  0.1344  88  0.1000      False   tanh     926
6  -0.1588  0.1366  95  0.0001       True   relu     984
7  -0.2507  0.2818  10  0.0100       True   tanh     865
8  -0.7327  0.8333  58  0.0010       True   relu       8
9  -0.2169  0.2395   9  0.0100      False   tanh     514
10 -0.1126  0.1405  73  0.0001       True   relu     729
11 -0.1602  0.2139  22  0.0010       True   relu     543
12 -0.1768  0.1894  25  0.1000       True   relu     562
13 -0.2008  0.2785  53  0.0010      False   relu     498
14 -0.1438  0.1557  83  0.0100       True   relu     337
15 -0.2417  0.2706  99  0.0100      False   tanh      16
16 -0.2471  0.2579  23  0.0100      False   relu     472
17 -0.1923  0.2466  24  0.0010       True   relu     778
18 -0.2130  0.2206  58  0.0100       True   tanh     382
19 -0.2780  0.2353  35  0.1000      False   tanh     596
