Melhores parâmetros: -0.092181 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2329  0.2247  10  0.1000      False   relu      38
1  -0.1182  0.0807  17  0.1000       True   relu     716
2  -0.3016  0.3831   7  0.0100       True   tanh     130
3  -0.4508  0.4348  19  0.0010      False   tanh     282
4  -0.1831  0.2836  29  0.0010      False   relu     469
5  -0.3836  0.4306  88  0.1000      False   tanh     926
6  -0.1680  0.2749  95  0.0001       True   relu     984
7  -0.1006  0.1634  10  0.0100       True   tanh     865
8  -0.8147  1.1034  58  0.0010       True   relu       8
9  -0.1353  0.1459   9  0.0100      False   tanh     514
10 -0.1491  0.2499  73  0.0001       True   relu     729
11 -0.3048  0.5149  22  0.0010       True   relu     543
12 -0.2442  0.3081  25  0.1000       True   relu     562
13 -0.1453  0.2481  53  0.0010      False   relu     498
14 -0.1388  0.1665  83  0.0100       True   relu     337
15 -0.5997  0.4107  99  0.0100      False   tanh      16
16 -0.1950  0.1407  23  0.0100      False   relu     472
17 -0.2764  0.4104  24  0.0010       True   relu     778
18 -0.0922  0.0697  58  0.0100       True   tanh     382
19 -0.4284  0.4636  35  0.1000      False   tanh     596
