Melhores parâmetros: -0.071847 com {'epochs': 716, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 17}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1656  0.0712  10  0.1000      False   relu      38
1  -0.0718  0.0427  17  0.1000       True   relu     716
2  -0.1038  0.0919   7  0.0100       True   tanh     130
3  -0.1687  0.1352  19  0.0010      False   tanh     282
4  -0.1618  0.1260  29  0.0010      False   relu     469
5  -0.2097  0.1684  88  0.1000      False   tanh     926
6  -0.1259  0.1056  95  0.0001       True   relu     984
7  -0.1465  0.1526  10  0.0100       True   tanh     865
8  -0.7523  0.4286  58  0.0010       True   relu       8
9  -0.0851  0.0617   9  0.0100      False   tanh     514
10 -0.0997  0.0969  73  0.0001       True   relu     729
11 -0.1696  0.1889  22  0.0010       True   relu     543
12 -0.1667  0.1302  25  0.1000       True   relu     562
13 -0.1366  0.1045  53  0.0010      False   relu     498
14 -0.1256  0.0768  83  0.0100       True   relu     337
15 -0.3180  0.2755  99  0.0100      False   tanh      16
16 -0.1675  0.1293  23  0.0100      False   relu     472
17 -0.1905  0.1229  24  0.0010       True   relu     778
18 -0.1168  0.0416  58  0.0100       True   tanh     382
19 -0.1684  0.1112  35  0.1000      False   tanh     596
