Melhores parâmetros: -0.093226 com {'epochs': 562, 'fun': 'relu', 'layer2': True, 'ln': 0.1, 'n': 25}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2143  0.1678  10  0.1000      False   relu      38
1  -0.1230  0.0415  17  0.1000       True   relu     716
2  -0.1839  0.1096   7  0.0100       True   tanh     130
3  -0.3440  0.2072  19  0.0010      False   tanh     282
4  -0.2070  0.2094  29  0.0010      False   relu     469
5  -0.7396  0.9939  88  0.1000      False   tanh     926
6  -0.1902  0.2114  95  0.0001       True   relu     984
7  -0.2338  0.1044  10  0.0100       True   tanh     865
8  -0.5112  0.2721  58  0.0010       True   relu       8
9  -0.2618  0.0740   9  0.0100      False   tanh     514
10 -0.1899  0.1130  73  0.0001       True   relu     729
11 -0.2361  0.1598  22  0.0010       True   relu     543
12 -0.0932  0.0371  25  0.1000       True   relu     562
13 -0.2778  0.2510  53  0.0010      False   relu     498
14 -0.1709  0.1386  83  0.0100       True   relu     337
15 -0.2860  0.1807  99  0.0100      False   tanh      16
16 -0.1214  0.1174  23  0.0100      False   relu     472
17 -0.1577  0.0725  24  0.0010       True   relu     778
18 -0.2413  0.1590  58  0.0100       True   tanh     382
19 -0.6590  0.6665  35  0.1000      False   tanh     596
