Melhores parâmetros: -0.096192 com {'epochs': 38, 'fun': 'relu', 'layer2': False, 'ln': 0.1, 'n': 10}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0962  0.0511  10  0.1000      False   relu      38
1  -0.3967  0.4060  17  0.1000       True   relu     716
2  -0.2915  0.3046   7  0.0100       True   tanh     130
3  -0.3095  0.2242  19  0.0010      False   tanh     282
4  -0.2880  0.2003  29  0.0010      False   relu     469
5  -0.4238  0.1680  88  0.1000      False   tanh     926
6  -0.1805  0.2560  95  0.0001       True   relu     984
7  -0.1588  0.1002  10  0.0100       True   tanh     865
8  -0.5202  0.3126  58  0.0010       True   relu       8
9  -0.4769  0.3951   9  0.0100      False   tanh     514
10 -0.1282  0.1361  73  0.0001       True   relu     729
11 -0.2702  0.2301  22  0.0010       True   relu     543
12 -0.1284  0.1055  25  0.1000       True   relu     562
13 -0.2019  0.1443  53  0.0010      False   relu     498
14 -0.2556  0.2587  83  0.0100       True   relu     337
15 -0.5435  0.5423  99  0.0100      False   tanh      16
16 -0.1444  0.0939  23  0.0100      False   relu     472
17 -0.1465  0.1360  24  0.0010       True   relu     778
18 -0.1716  0.1112  58  0.0100       True   tanh     382
19 -0.5416  0.4114  35  0.1000      False   tanh     596
