Melhores parâmetros: -0.109572 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3905  0.2613  10  0.1000      False   relu      38
1  -0.2570  0.1105  17  0.1000       True   relu     716
2  -0.6267  0.2941   7  0.0100       True   tanh     130
3  -0.6317  0.7309  19  0.0010      False   tanh     282
4  -0.3098  0.2411  29  0.0010      False   relu     469
5  -0.9497  0.5425  88  0.1000      False   tanh     926
6  -0.1832  0.1734  95  0.0001       True   relu     984
7  -0.4578  0.4159  10  0.0100       True   tanh     865
8  -0.6109  0.3326  58  0.0010       True   relu       8
9  -0.7837  0.3651   9  0.0100      False   tanh     514
10 -0.2298  0.2519  73  0.0001       True   relu     729
11 -0.1503  0.0618  22  0.0010       True   relu     543
12 -0.2272  0.0721  25  0.1000       True   relu     562
13 -0.2785  0.2901  53  0.0010      False   relu     498
14 -0.1096  0.0838  83  0.0100       True   relu     337
15 -0.5159  0.5891  99  0.0100      False   tanh      16
16 -0.2377  0.0942  23  0.0100      False   relu     472
17 -0.2267  0.2661  24  0.0010       True   relu     778
18 -0.4924  0.4976  58  0.0100       True   tanh     382
19 -1.2193  0.6801  35  0.1000      False   tanh     596
