Melhores parâmetros: -0.068193 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1620  0.0894  10  0.1000      False   relu      38
1  -0.1034  0.0893  17  0.1000       True   relu     716
2  -0.1145  0.0674   7  0.0100       True   tanh     130
3  -0.1701  0.1257  19  0.0010      False   tanh     282
4  -0.1035  0.0484  29  0.0010      False   relu     469
5  -0.3388  0.2468  88  0.1000      False   tanh     926
6  -0.1621  0.1104  95  0.0001       True   relu     984
7  -0.1587  0.0989  10  0.0100       True   tanh     865
8  -0.3731  0.1186  58  0.0010       True   relu       8
9  -0.1878  0.1168   9  0.0100      False   tanh     514
10 -0.1607  0.1157  73  0.0001       True   relu     729
11 -0.1853  0.1358  22  0.0010       True   relu     543
12 -0.2502  0.2001  25  0.1000       True   relu     562
13 -0.1344  0.0537  53  0.0010      False   relu     498
14 -0.1569  0.1572  83  0.0100       True   relu     337
15 -0.1723  0.0997  99  0.0100      False   tanh      16
16 -0.0682  0.0476  23  0.0100      False   relu     472
17 -0.2409  0.2156  24  0.0010       True   relu     778
18 -0.1095  0.0662  58  0.0100       True   tanh     382
19 -0.3406  0.2196  35  0.1000      False   tanh     596
