Melhores parâmetros: -0.153211 com {'epochs': 382, 'fun': 'tanh', 'layer2': True, 'ln': 0.01, 'n': 58}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.2025  0.0467  10  0.1000      False   relu      38
1  -0.2065  0.1488  17  0.1000       True   relu     716
2  -0.2684  0.1680   7  0.0100       True   tanh     130
3  -0.2356  0.2645  19  0.0010      False   tanh     282
4  -0.2108  0.1192  29  0.0010      False   relu     469
5  -0.2268  0.1575  88  0.1000      False   tanh     926
6  -0.2782  0.2288  95  0.0001       True   relu     984
7  -0.1985  0.1933  10  0.0100       True   tanh     865
8  -0.4090  0.2466  58  0.0010       True   relu       8
9  -0.2621  0.1597   9  0.0100      False   tanh     514
10 -0.1714  0.0974  73  0.0001       True   relu     729
11 -0.3837  0.5109  22  0.0010       True   relu     543
12 -0.2979  0.2338  25  0.1000       True   relu     562
13 -0.2203  0.1213  53  0.0010      False   relu     498
14 -0.3348  0.3796  83  0.0100       True   relu     337
15 -0.2247  0.2393  99  0.0100      False   tanh      16
16 -0.2522  0.0908  23  0.0100      False   relu     472
17 -0.3027  0.3587  24  0.0010       True   relu     778
18 -0.1532  0.0829  58  0.0100       True   tanh     382
19 -0.3635  0.2863  35  0.1000      False   tanh     596
