Melhores parâmetros: -0.046485 com {'epochs': 498, 'fun': 'relu', 'layer2': False, 'ln': 0.001, 'n': 53}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.0756  0.0519  10  0.1000      False   relu      38
1  -0.1230  0.0672  17  0.1000       True   relu     716
2  -0.1219  0.0927   7  0.0100       True   tanh     130
3  -0.1980  0.0891  19  0.0010      False   tanh     282
4  -0.0712  0.0332  29  0.0010      False   relu     469
5  -0.1203  0.0886  88  0.1000      False   tanh     926
6  -0.1116  0.0842  95  0.0001       True   relu     984
7  -0.0896  0.0891  10  0.0100       True   tanh     865
8  -0.5271  0.2872  58  0.0010       True   relu       8
9  -0.1343  0.0632   9  0.0100      False   tanh     514
10 -0.0642  0.0477  73  0.0001       True   relu     729
11 -0.1769  0.1344  22  0.0010       True   relu     543
12 -0.0821  0.0546  25  0.1000       True   relu     562
13 -0.0465  0.0244  53  0.0010      False   relu     498
14 -0.0665  0.0495  83  0.0100       True   relu     337
15 -0.1557  0.0597  99  0.0100      False   tanh      16
16 -0.0593  0.0438  23  0.0100      False   relu     472
17 -0.0812  0.1084  24  0.0010       True   relu     778
18 -0.0547  0.0418  58  0.0100       True   tanh     382
19 -0.2815  0.2810  35  0.1000      False   tanh     596
