Melhores parâmetros: -0.149340 com {'epochs': 472, 'fun': 'relu', 'layer2': False, 'ln': 0.01, 'n': 23}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.1684  0.1420  10  0.1000      False   relu      38
1  -0.1716  0.1139  17  0.1000       True   relu     716
2  -0.2661  0.1459   7  0.0100       True   tanh     130
3  -0.3141  0.1715  19  0.0010      False   tanh     282
4  -0.2388  0.1631  29  0.0010      False   relu     469
5  -0.5289  0.4253  88  0.1000      False   tanh     926
6  -0.1703  0.0962  95  0.0001       True   relu     984
7  -0.2824  0.1054  10  0.0100       True   tanh     865
8  -0.5064  0.1693  58  0.0010       True   relu       8
9  -0.2505  0.1060   9  0.0100      False   tanh     514
10 -0.2007  0.0950  73  0.0001       True   relu     729
11 -0.2427  0.1825  22  0.0010       True   relu     543
12 -0.1959  0.0999  25  0.1000       True   relu     562
13 -0.1563  0.0949  53  0.0010      False   relu     498
14 -0.1764  0.0786  83  0.0100       True   relu     337
15 -0.3797  0.2347  99  0.0100      False   tanh      16
16 -0.1493  0.1074  23  0.0100      False   relu     472
17 -0.1833  0.1118  24  0.0010       True   relu     778
18 -0.3459  0.1987  58  0.0100       True   tanh     382
19 -0.4922  0.1592  35  0.1000      False   tanh     596
