Melhores parâmetros: -0.238394 com {'epochs': 337, 'fun': 'relu', 'layer2': True, 'ln': 0.01, 'n': 83}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3348  0.3091  10  0.1000      False   relu      38
1  -0.5023  0.3389  17  0.1000       True   relu     716
2  -0.2618  0.1684   7  0.0100       True   tanh     130
3  -1.1861  0.8053  19  0.0010      False   tanh     282
4  -0.9302  0.6587  29  0.0010      False   relu     469
5  -0.6315  0.4264  88  0.1000      False   tanh     926
6  -0.2591  0.1025  95  0.0001       True   relu     984
7  -0.4556  0.3627  10  0.0100       True   tanh     865
8  -0.7518  0.3577  58  0.0010       True   relu       8
9  -0.4664  0.3730   9  0.0100      False   tanh     514
10 -0.3587  0.2796  73  0.0001       True   relu     729
11 -0.5897  0.2903  22  0.0010       True   relu     543
12 -0.4318  0.2415  25  0.1000       True   relu     562
13 -0.8728  0.7934  53  0.0010      False   relu     498
14 -0.2384  0.1797  83  0.0100       True   relu     337
15 -1.1743  0.6533  99  0.0100      False   tanh      16
16 -0.6369  0.4171  23  0.0100      False   relu     472
17 -0.3052  0.1140  24  0.0010       True   relu     778
18 -0.4601  0.2994  58  0.0100       True   tanh     382
19 -0.5116  0.3832  35  0.1000      False   tanh     596
