Melhores parâmetros: -0.168856 com {'epochs': 984, 'fun': 'relu', 'layer2': True, 'ln': 0.0001, 'n': 95}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3109  0.2261  10  0.1000      False   relu      38
1  -0.2257  0.1477  17  0.1000       True   relu     716
2  -0.2074  0.1444   7  0.0100       True   tanh     130
3  -0.8609  0.6324  19  0.0010      False   tanh     282
4  -0.2969  0.2511  29  0.0010      False   relu     469
5  -0.3378  0.2654  88  0.1000      False   tanh     926
6  -0.1689  0.1052  95  0.0001       True   relu     984
7  -0.2217  0.1356  10  0.0100       True   tanh     865
8  -0.6150  0.2523  58  0.0010       True   relu       8
9  -0.2360  0.1243   9  0.0100      False   tanh     514
10 -0.3083  0.2105  73  0.0001       True   relu     729
11 -0.1997  0.0981  22  0.0010       True   relu     543
12 -0.2019  0.1806  25  0.1000       True   relu     562
13 -0.3379  0.2953  53  0.0010      False   relu     498
14 -0.2093  0.2021  83  0.0100       True   relu     337
15 -1.1043  0.8853  99  0.0100      False   tanh      16
16 -0.2355  0.2412  23  0.0100      False   relu     472
17 -0.2275  0.1588  24  0.0010       True   relu     778
18 -0.3343  0.2025  58  0.0100       True   tanh     382
19 -0.5711  0.5576  35  0.1000      False   tanh     596
