Melhores parâmetros: -0.167693 com {'epochs': 984, 'fun': 'relu', 'layer2': True, 'ln': 0.0001, 'n': 95}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.3477  0.2652  10  0.1000      False   relu      38
1  -0.5100  0.3831  17  0.1000       True   relu     716
2  -0.2039  0.1931   7  0.0100       True   tanh     130
3  -1.0894  0.7295  19  0.0010      False   tanh     282
4  -0.8124  0.6977  29  0.0010      False   relu     469
5  -0.4819  0.3190  88  0.1000      False   tanh     926
6  -0.1677  0.1087  95  0.0001       True   relu     984
7  -0.3706  0.3132  10  0.0100       True   tanh     865
8  -0.7192  0.3960  58  0.0010       True   relu       8
9  -0.2941  0.3626   9  0.0100      False   tanh     514
10 -0.2875  0.2505  73  0.0001       True   relu     729
11 -0.5523  0.4046  22  0.0010       True   relu     543
12 -0.2656  0.1709  25  0.1000       True   relu     562
13 -0.7806  0.8901  53  0.0010      False   relu     498
14 -0.1924  0.1447  83  0.0100       True   relu     337
15 -1.0689  0.5725  99  0.0100      False   tanh      16
16 -0.6468  0.5090  23  0.0100      False   relu     472
17 -0.2216  0.1523  24  0.0010       True   relu     778
18 -0.3495  0.1824  58  0.0100       True   tanh     382
19 -0.5275  0.4723  35  0.1000      False   tanh     596
