Melhores parâmetros: -0.263976 com {'epochs': 984, 'fun': 'relu', 'layer2': True, 'ln': 0.0001, 'n': 95}

     Média  Desvio   n      ln  2° camada Função  Épocas
0  -0.8134  0.6153  10  0.1000      False   relu      38
1  -0.2910  0.2484  17  0.1000       True   relu     716
2  -0.4829  0.3586   7  0.0100       True   tanh     130
3  -0.8617  0.5684  19  0.0010      False   tanh     282
4  -0.7424  0.9308  29  0.0010      False   relu     469
5  -0.7389  0.6891  88  0.1000      False   tanh     926
6  -0.2640  0.3699  95  0.0001       True   relu     984
7  -0.3841  0.2845  10  0.0100       True   tanh     865
8  -0.7425  0.3410  58  0.0010       True   relu       8
9  -0.7399  0.6371   9  0.0100      False   tanh     514
10 -0.5527  0.8479  73  0.0001       True   relu     729
11 -0.3212  0.3962  22  0.0010       True   relu     543
12 -0.2754  0.4044  25  0.1000       True   relu     562
13 -0.9391  1.4745  53  0.0010      False   relu     498
14 -0.2850  0.3911  83  0.0100       True   relu     337
15 -0.9272  0.4839  99  0.0100      False   tanh      16
16 -0.3617  0.4058  23  0.0100      False   relu     472
17 -0.5705  0.8833  24  0.0010       True   relu     778
18 -0.5373  0.5220  58  0.0100       True   tanh     382
19 -0.7778  0.5296  35  0.1000      False   tanh     596
